epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.963,0.89171,1.84194,1.1203,1.10984,0.9474,0.83096,0.89332,0.67998,0.94645,0.83738,0.89951,0.70692,0.78645,0.98595,0.81779,0.90606,0.000654321,0.000654321,0.000654321
2,79.3089,0.73362,1.20219,0.50875,0.95367,0.91176,0.88902,0.93428,0.7192,0.91295,0.88924,0.94123,0.65525,0.84281,2.33588,0.55406,0.88982,0.00131227,0.00131227,0.00131227
3,106.585,0.73921,1.15976,0.48744,0.94981,0.9539,0.90303,0.93397,0.6636,0.96506,0.91147,0.9396,0.65946,0.93422,2.00599,0.52348,0.92718,0.00196142,0.00196142,0.00196142
4,134.013,0.7189,1.08778,0.4682,0.94125,0.94157,0.91646,0.94099,0.70075,0.94865,0.92394,0.96175,0.74632,0.80968,1.40143,0.86402,0.89906,0.0019604,0.0019604,0.0019604
5,161.777,0.70391,1.02941,0.44395,0.935,0.98079,0.91397,0.94787,0.74026,0.9833,0.94638,0.97576,0.81298,0.77478,0.81338,0.41888,0.87228,0.0019472,0.0019472,0.0019472
6,189.464,0.67876,1.01593,0.42828,0.92722,0.9001,0.88753,0.93225,0.73745,0.8789,0.91272,0.94685,0.76232,0.81388,1.44971,0.75864,0.94787,0.001934,0.001934,0.001934
7,216.861,0.67796,0.96198,0.42017,0.92569,0.91321,0.86658,0.92492,0.7076,0.91643,0.87506,0.93279,0.7914,0.89309,0.73503,0.67621,0.91524,0.0019208,0.0019208,0.0019208
8,244.896,0.66461,0.99166,0.41549,0.92083,0.98545,0.92882,0.96434,0.80204,0.97162,0.94638,0.97826,0.81855,0.65381,0.81174,0.37969,0.83401,0.0019076,0.0019076,0.0019076
9,273.418,0.66082,0.97565,0.3972,0.91662,0.98663,0.93017,0.96635,0.79125,0.98947,0.93726,0.9741,0.82863,0.69693,0.72413,0.37603,0.84845,0.0018944,0.0018944,0.0018944
10,300.864,0.65005,0.92394,0.38576,0.91361,0.96485,0.924,0.96023,0.80227,0.95615,0.93392,0.96835,0.83288,0.6441,0.68463,0.38873,0.84611,0.0018812,0.0018812,0.0018812
11,328.596,0.64999,0.92226,0.38214,0.91216,0.97927,0.93392,0.96463,0.80325,0.98421,0.9329,0.97333,0.83131,0.66396,0.61393,0.35749,0.8309,0.001868,0.001868,0.001868
12,355.716,0.64419,0.928,0.37827,0.90448,0.9815,0.9263,0.96618,0.77827,0.98811,0.93253,0.97682,0.82118,0.71094,0.73738,0.36658,0.83416,0.0018548,0.0018548,0.0018548
13,383.029,0.64772,0.91302,0.37492,0.91344,0.98029,0.93027,0.9656,0.79983,0.97766,0.92778,0.97102,0.84446,0.69261,0.60456,0.37545,0.83134,0.0018416,0.0018416,0.0018416
14,410.173,0.63739,0.88531,0.36807,0.90623,0.98635,0.93641,0.96738,0.78842,0.98588,0.94514,0.98203,0.87422,0.72044,0.61532,0.36139,0.83857,0.0018284,0.0018284,0.0018284
15,437.52,0.63063,0.89803,0.36434,0.90448,0.98037,0.9414,0.97249,0.81948,0.97546,0.9419,0.97454,0.84227,0.6326,0.59207,0.32407,0.81591,0.0018152,0.0018152,0.0018152
16,464.851,0.62868,0.87213,0.35832,0.90554,0.99338,0.9355,0.95699,0.80364,0.99264,0.93392,0.97052,0.84533,0.68352,0.65114,0.35476,0.83453,0.001802,0.001802,0.001802
17,492.215,0.62208,0.88172,0.3546,0.90218,0.98093,0.93766,0.97142,0.83205,0.98176,0.93944,0.97828,0.84333,0.59889,0.58636,0.32225,0.8207,0.0017888,0.0017888,0.0017888
18,519.386,0.61891,0.86445,0.35116,0.90119,0.9856,0.93866,0.96993,0.80879,0.98266,0.93516,0.96824,0.83193,0.65119,0.70047,0.35148,0.84101,0.0017756,0.0017756,0.0017756
19,546.729,0.61674,0.87662,0.35689,0.90472,0.98941,0.93239,0.96993,0.80996,0.98171,0.94638,0.98245,0.85061,0.64886,0.70545,0.33725,0.82574,0.0017624,0.0017624,0.0017624
20,573.858,0.61635,0.87866,0.34903,0.89975,0.98536,0.92312,0.95568,0.80283,0.98134,0.94015,0.97872,0.85665,0.67332,0.60987,0.33258,0.83415,0.0017492,0.0017492,0.0017492
21,601.274,0.61446,0.87429,0.35676,0.90219,0.99383,0.93142,0.96525,0.81163,0.99078,0.9378,0.98039,0.85825,0.65058,0.61334,0.33261,0.82204,0.001736,0.001736,0.001736
22,630.022,0.6044,0.84503,0.33544,0.89713,0.97931,0.94449,0.9708,0.82219,0.98696,0.94354,0.97968,0.83953,0.62137,0.58167,0.32312,0.81738,0.0017228,0.0017228,0.0017228
23,657.163,0.61068,0.85118,0.34698,0.89755,0.98369,0.90245,0.946,0.80857,0.98369,0.90245,0.95285,0.83102,0.61285,0.60853,0.58331,0.82699,0.0017096,0.0017096,0.0017096
24,684.618,0.61558,0.87496,0.34486,0.90413,0.98814,0.93521,0.97381,0.81976,0.99089,0.94885,0.98232,0.86728,0.6474,0.64954,0.32059,0.83341,0.0016964,0.0016964,0.0016964
25,711.851,0.6074,0.85449,0.33341,0.89725,0.9934,0.93896,0.97546,0.82161,0.98948,0.94763,0.97852,0.8599,0.64345,0.58545,0.31912,0.82202,0.0016832,0.0016832,0.0016832
26,739.933,0.60333,0.84594,0.32968,0.89941,0.98902,0.89826,0.94739,0.76053,0.98764,0.89645,0.95098,0.84381,0.77289,0.58559,0.54515,0.85075,0.00167,0.00167,0.00167
27,767.566,0.60458,0.82584,0.33024,0.89547,0.98693,0.94184,0.97524,0.81731,0.99074,0.95137,0.98537,0.8466,0.64522,0.54718,0.30888,0.81869,0.0016568,0.0016568,0.0016568
28,795.236,0.60089,0.8332,0.33138,0.90112,0.9882,0.93939,0.97733,0.83104,0.99092,0.95245,0.98494,0.87033,0.63018,0.57999,0.31105,0.81836,0.0016436,0.0016436,0.0016436
29,822.84,0.60071,0.8486,0.32876,0.89825,0.98699,0.94264,0.97355,0.82227,0.98835,0.94763,0.98002,0.86049,0.62378,0.59198,0.30197,0.81748,0.0016304,0.0016304,0.0016304
30,850.311,0.59972,0.83354,0.32715,0.89341,0.98051,0.94091,0.97355,0.81685,0.98698,0.94517,0.98018,0.86294,0.62849,0.56715,0.32566,0.83005,0.0016172,0.0016172,0.0016172
31,877.71,0.59548,0.82612,0.32346,0.89426,0.98694,0.94227,0.97508,0.80989,0.98325,0.95142,0.98325,0.87245,0.68725,0.58495,0.31771,0.83998,0.001604,0.001604,0.001604
32,905.484,0.5998,0.83063,0.32759,0.893,0.98687,0.93742,0.97659,0.84062,0.98555,0.93548,0.97599,0.82956,0.58152,0.60847,0.32179,0.82061,0.0015908,0.0015908,0.0015908
33,933.441,0.60064,0.8616,0.32692,0.89751,0.98568,0.94396,0.97363,0.82401,0.9848,0.94763,0.98163,0.87436,0.63905,0.59298,0.30958,0.83084,0.0015776,0.0015776,0.0015776
34,960.864,0.59973,0.82499,0.32427,0.89276,0.98705,0.95009,0.97928,0.84498,0.99217,0.94839,0.98196,0.86487,0.60115,0.55052,0.29678,0.82519,0.0015644,0.0015644,0.0015644
35,988.157,0.5895,0.82159,0.31659,0.88952,0.99085,0.93766,0.9752,0.82928,0.99314,0.94888,0.98311,0.87755,0.63473,0.57218,0.30004,0.82444,0.0015512,0.0015512,0.0015512
36,1015.16,0.58888,0.81046,0.3132,0.8892,0.99528,0.95012,0.9785,0.8434,0.99477,0.9494,0.98373,0.86168,0.58525,0.57108,0.29764,0.82245,0.001538,0.001538,0.001538
37,1042.4,0.59322,0.81179,0.31752,0.89375,0.99339,0.93637,0.96656,0.80523,0.99177,0.94888,0.98114,0.85799,0.67604,0.58089,0.31208,0.83058,0.0015248,0.0015248,0.0015248
38,1069.65,0.58612,0.80434,0.31221,0.89147,0.99206,0.93453,0.96448,0.80712,0.99105,0.94638,0.97897,0.86633,0.65464,0.58238,0.33044,0.82436,0.0015116,0.0015116,0.0015116
39,1096.69,0.58596,0.79812,0.31458,0.88978,0.99197,0.92468,0.96591,0.81055,0.99197,0.92468,0.97435,0.87288,0.65196,0.56486,0.36805,0.84884,0.0014984,0.0014984,0.0014984
40,1123.86,0.58375,0.82289,0.31332,0.89533,0.99217,0.94819,0.97668,0.82144,0.9896,0.94959,0.97854,0.85291,0.64279,0.57145,0.30457,0.85304,0.0014852,0.0014852,0.0014852
41,1151.16,0.59428,0.8075,0.31537,0.89249,0.98333,0.95609,0.97783,0.83856,0.98829,0.94682,0.97781,0.85365,0.60642,0.57508,0.29406,0.82734,0.001472,0.001472,0.001472
42,1178.39,0.57964,0.81936,0.31321,0.89059,0.98662,0.91949,0.96708,0.82056,0.98793,0.91835,0.97589,0.87107,0.61846,0.55166,0.32525,0.82561,0.0014588,0.0014588,0.0014588
43,1205.57,0.58222,0.80363,0.30934,0.8882,0.98762,0.9414,0.97939,0.83446,0.98461,0.95753,0.98577,0.88399,0.63461,0.55823,0.294,0.82768,0.0014456,0.0014456,0.0014456
44,1233.47,0.5816,0.81402,0.3066,0.8882,0.98896,0.94638,0.9793,0.83813,0.98817,0.93731,0.97771,0.87203,0.6254,0.56487,0.28475,0.82295,0.0014324,0.0014324,0.0014324
45,1261.17,0.58212,0.81352,0.31123,0.89413,0.98511,0.94763,0.97863,0.83947,0.9834,0.94638,0.98255,0.87386,0.60287,0.56449,0.29695,0.84024,0.0014192,0.0014192,0.0014192
46,1288.8,0.57828,0.80875,0.30775,0.88924,0.99075,0.9345,0.9702,0.82462,0.99073,0.93243,0.97519,0.86295,0.62148,0.56127,0.32124,0.82868,0.001406,0.001406,0.001406
47,1316.2,0.58279,0.81355,0.3083,0.89437,0.99076,0.94264,0.97845,0.82804,0.99477,0.94829,0.98475,0.87857,0.65556,0.56005,0.29237,0.84102,0.0013928,0.0013928,0.0013928
48,1343.62,0.57983,0.81316,0.30592,0.88746,0.97789,0.93773,0.97486,0.82819,0.97884,0.95137,0.98206,0.86988,0.61359,0.56157,0.30302,0.82681,0.0013796,0.0013796,0.0013796
49,1370.93,0.59066,0.82271,0.31228,0.88826,0.98504,0.90773,0.9522,0.79021,0.98557,0.90898,0.95638,0.8607,0.67904,0.55918,0.45725,0.85602,0.0013664,0.0013664,0.0013664
50,1398,0.57806,0.79803,0.30462,0.89016,0.99437,0.93516,0.97117,0.80383,0.98594,0.9618,0.98548,0.88407,0.70618,0.55036,0.31049,0.85058,0.0013532,0.0013532,0.0013532
51,1425.2,0.57284,0.79993,0.29464,0.88645,0.99213,0.94295,0.97779,0.84608,0.99133,0.95387,0.98507,0.88692,0.60163,0.5509,0.27633,0.82999,0.00134,0.00134,0.00134
52,1452.32,0.57217,0.80181,0.29942,0.88682,0.98848,0.94264,0.97691,0.83518,0.99222,0.9542,0.98574,0.88738,0.63613,0.55234,0.28647,0.83667,0.0013268,0.0013268,0.0013268
53,1479.66,0.58491,0.81024,0.30903,0.8968,0.99727,0.9414,0.97814,0.85675,0.99376,0.9389,0.98264,0.84988,0.55544,0.56534,0.28619,0.841,0.0013136,0.0013136,0.0013136
54,1506.98,0.57071,0.78516,0.29928,0.88952,0.98953,0.9424,0.97983,0.84538,0.99212,0.94222,0.98524,0.88304,0.59228,0.55491,0.27865,0.84488,0.0013004,0.0013004,0.0013004
55,1534.39,0.5715,0.81495,0.29993,0.89091,0.98065,0.9478,0.97828,0.84101,0.99091,0.95126,0.98552,0.881,0.60677,0.56034,0.28293,0.83388,0.0012872,0.0012872,0.0012872
56,1561.87,0.57825,0.78574,0.30254,0.8862,0.98075,0.95308,0.97831,0.84224,0.98583,0.96135,0.9848,0.88643,0.6083,0.53181,0.28189,0.83418,0.001274,0.001274,0.001274
57,1589.27,0.56741,0.80577,0.29672,0.88497,0.98834,0.95157,0.97953,0.85167,0.99223,0.95597,0.98463,0.87273,0.55985,0.55088,0.27307,0.83816,0.0012608,0.0012608,0.0012608
58,1617.25,0.56547,0.7957,0.29327,0.88903,0.98467,0.95137,0.97671,0.82363,0.98456,0.95435,0.98419,0.88319,0.6418,0.563,0.28869,0.85511,0.0012476,0.0012476,0.0012476
59,1645.11,0.56581,0.78698,0.29398,0.88728,0.99217,0.9476,0.97825,0.85067,0.99306,0.94638,0.98381,0.87354,0.56725,0.53604,0.26957,0.84395,0.0012344,0.0012344,0.0012344
60,1673.04,0.55915,0.77188,0.29197,0.88521,0.99102,0.94514,0.97474,0.81312,0.98712,0.95539,0.9836,0.88228,0.68834,0.59882,0.30416,0.83511,0.0012212,0.0012212,0.0012212
61,1700.82,0.57376,0.79374,0.29812,0.88265,0.99344,0.9414,0.97964,0.84823,0.98704,0.94949,0.98251,0.87556,0.59455,0.55155,0.27718,0.81529,0.001208,0.001208,0.001208
62,1730.15,0.5638,0.78056,0.28779,0.88629,0.99211,0.94088,0.97662,0.83936,0.97837,0.95262,0.98158,0.86736,0.58577,0.53936,0.27814,0.83844,0.0011948,0.0011948,0.0011948
63,1757.81,0.56417,0.79588,0.2981,0.88979,0.99343,0.9428,0.97933,0.84756,0.98215,0.96039,0.98571,0.8724,0.58557,0.52746,0.27133,0.84367,0.0011816,0.0011816,0.0011816
64,1785.49,0.56456,0.78329,0.28724,0.88857,0.97771,0.95761,0.97754,0.84932,0.98601,0.95387,0.98384,0.8722,0.55977,0.53812,0.2721,0.83316,0.0011684,0.0011684,0.0011684
65,1813.19,0.56261,0.7708,0.28478,0.88446,0.98204,0.95471,0.97987,0.8414,0.98845,0.96053,0.98527,0.88507,0.60388,0.53786,0.27028,0.83826,0.0011552,0.0011552,0.0011552
66,1840.77,0.55822,0.77525,0.28385,0.88197,0.99345,0.94504,0.98052,0.84641,0.9833,0.95885,0.98556,0.88232,0.61076,0.52766,0.27377,0.8207,0.001142,0.001142,0.001142
67,1868.21,0.57469,0.79847,0.29129,0.88567,0.98958,0.94708,0.97608,0.80821,0.98816,0.96633,0.98712,0.89404,0.69144,0.53364,0.29136,0.84843,0.0011288,0.0011288,0.0011288
68,1895.6,0.56267,0.77948,0.28493,0.88514,0.99575,0.87558,0.95267,0.8221,0.99575,0.87558,0.95408,0.82768,0.57148,0.54488,0.438,0.84524,0.0011156,0.0011156,0.0011156
69,1922.9,0.55956,0.78474,0.28531,0.88468,0.98084,0.95724,0.98044,0.84952,0.98209,0.95742,0.98439,0.88702,0.57388,0.53122,0.26315,0.83248,0.0011024,0.0011024,0.0011024
70,1950.36,0.5621,0.78313,0.28509,0.88279,0.99341,0.93974,0.97913,0.85978,0.99051,0.93641,0.97884,0.85081,0.55458,0.53461,0.26753,0.82933,0.0010892,0.0010892,0.0010892
